Time:2017-01-26 23:09:48:947-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2017-01-26 23:52:37:096-Trace>>OnEntitySyncQueue execute count:1, success:0/total 2, fail:1 start...


Time:2017-01-26 23:52:41:039-Trace>>OnEntitySyncQueue execute count:1, success:0/total 5, fail:2 start...


Time:2017-01-26 23:52:44:646-Trace>>OnEntitySyncQueue execute count:1, success:0/total 18, fail:3 start...


Time:2017-01-26 23:52:45:739-Trace>>OnEntitySyncQueue execute count:1, success:0/total 19, fail:4 start...


Time:2017-01-26 23:54:31:955-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2017-01-26 23:54:51:315-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2017-01-26 23:54:55:256-Trace>>OnEntitySyncQueue execute count:1, success:0/total 2, fail:1 start...


Time:2017-01-26 23:54:59:409-Trace>>OnEntitySyncQueue execute count:1, success:0/total 3, fail:2 start...


Time:2017-01-26 23:54:59:516-Trace>>OnEntitySyncQueue execute count:1, success:0/total 5, fail:3 start...


Time:2017-01-26 23:55:03:021-Trace>>OnEntitySyncQueue execute count:1, success:0/total 18, fail:4 start...


Time:2017-01-26 23:55:04:113-Trace>>OnEntitySyncQueue execute count:1, success:0/total 19, fail:5 start...


Time:2017-01-26 23:57:05:039-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2017-01-26 23:57:27:283-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2017-01-26 23:57:31:770-Trace>>OnEntitySyncQueue execute count:1, success:0/total 2, fail:1 start...


Time:2017-01-26 23:57:36:037-Trace>>OnEntitySyncQueue execute count:1, success:0/total 3, fail:2 start...


Time:2017-01-26 23:57:36:148-Trace>>OnEntitySyncQueue execute count:1, success:0/total 5, fail:3 start...


Time:2017-01-26 23:57:39:642-Trace>>OnEntitySyncQueue execute count:1, success:0/total 18, fail:4 start...


Time:2017-01-26 23:57:40:740-Trace>>OnEntitySyncQueue execute count:1, success:0/total 19, fail:5 start...


Time:2017-01-26 23:59:56:688-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


